Product Code,SAP Code,Product Name,Product Photo URL,Short Description,Detailed Description,Base Price,GST %,Price Including GST,MRP,Bundle Quantity,Minimum Quantity,Unit,Shipping Included,HSN Code,Specifications,Active,Order Enabled,Display Order
GFO01,0000366966,GFO Automatic Fireball – 400 gm,assets/gfo-automatic-fireball-400g.png,Automatic fire-extinguisher ball designed to activate after contact with flame.,"A 400 gm automatic fireball suitable for fire-prone areas, LPG-cylinder locations, vehicles and electrical panels.",646.61,18,763,999,20,20,ball,Yes,84241000,Weight: 400 gm|One box contains 20 balls|Automatic activation within 5–10 seconds|Zero maintenance|5-year shelf life,Yes,Yes,1
,,Domestic Suraksha LPG Hose,assets/domestic-suraksha-lpg-hose.png,LERC-approved LPG Suraksha Hose Part 2 for low-pressure domestic and household applications.,Domestic LPG hose designed for low-pressure household use in accordance with IS 9573 Part 2.,,,,,,,,,,IS 9573 Part 2|LERC approved|Recommended maximum working pressure: 10 Bar|Minimum burst pressure: 40 Bar,Yes,No,2
